excel_row;clasificacion;accion_sugerida;match_type;material_id_candidato;descripcion_candidato;score_candidato;item_original;cantidad_k55_excel;unidad;k37_actual;k52_actual;k55_actual;proveedor;rubro;observacion;flag_original;motivo_revision
251;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Resorte a gas para escalera - MODELO A DEFINIR;2;Unidades;;;;;Carpinteria;MODELO A DEFINIR esto por ej sacale el modelo a definir desp se define en la lista;STD;
252;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Resorte a gas para puertas de alacenas - 60N;6;Unidades;;;;;Carpinteria;Hafele 60N;STD;
253;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Resorte a gas para puertas de alacenas - 80N;4;Unidades;;;;;Carpinteria;Hafele 80N;STD;
254;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Rollo de cable negro 1.5mm;100;Metros;;;;;Electricidad;;STD;
255;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Rollo de cable rojo 1.5mm;100;Metros;;;;;Electricidad;;STD;
257;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Sello PSS para eje 2-3/4"", tubo 4""";2;Unidades;;;;Flojumar;Mecanica;LASDROP USA GENERACION 2;STD;
258;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Sensor agua 115cm;2;Unidades;;;;Flojumar;Electricidad;;STD;
261;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"Silenciador Vernalift 6"" Centek 16X16 (motor)";2;Unidades;;;;Trimer;Mecanica;;STD;
265;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Solenoide Quick italy 12v;1;Unidades;;;;Flojumar;Electricidad;;STD;
267;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Soporte elevador TV - JC35VT-1000;1;Unidades;;;;;Carpinteria;Soporte TV Salon;STD;
270;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Soportes de barral de ropero;6;Unidades;;;;;Carpinteria;Vestidor y camarote proa;STD;
271;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Soportes tapiceria banco cockpit K55;3;Unidades;;;;Maxi Herrero;;;STD;
272;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Soportes tapiceria banco proa K55;7;Unidades;;;;Maxi Herrero;;;STD;
273;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Soportes tapiceria flybridge K55;13;Unidades;;;;Maxi Herrero;;;STD;
274;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Stern thurster Quick doble helice 6,5kw 250mm 12v;1;Unidades;;;;Flojumar;Electricidad;;STD;
276;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;"T con espiga rosca central de 1"" plastico";2;Unidades;;;;Casa Iriarte;Sanitarios;PX BUJRED3/4X1;STD;
277;STD;CREAR_MATERIAL_Y_SET_K55;NUEVO;;;;Tableros electricos COSTA;2;Unidades;;;;;;395x245mm;STD;
